"location","1999_opioid_overdose_death_rate_age_adjusted","2000_opioid_overdose_death_rate_age_adjusted","2001_opioid_overdose_death_rate_age_adjusted","2002_opioid_overdose_death_rate_age_adjusted","2003_opioid_overdose_death_rate_age_adjusted","2004_opioid_overdose_death_rate_age_adjusted","2005_opioid_overdose_death_rate_age_adjusted","2006_opioid_overdose_death_rate_age_adjusted","2007_opioid_overdose_death_rate_age_adjusted","2008_opioid_overdose_death_rate_age_adjusted","2009_opioid_overdose_death_rate_age_adjusted","2010_opioid_overdose_death_rate_age_adjusted","2011_opioid_overdose_death_rate_age_adjusted","2012_opioid_overdose_death_rate_age_adjusted","2013_opioid_overdose_death_rate_age_adjusted","2014_opioid_overdose_death_rate_age_adjusted","2015_opioid_overdose_death_rate_age_adjusted","2016_opioid_overdose_death_rate_age_adjusted","2017_opioid_overdose_death_rate_age_adjusted","1999_all_drug_overdose_death_rate_age_adjusted","2000_all_drug_overdose_death_rate_age_adjusted","2001_all_drug_overdose_death_rate_age_adjusted","2002_all_drug_overdose_death_rate_age_adjusted","2003_all_drug_overdose_death_rate_age_adjusted","2004_all_drug_overdose_death_rate_age_adjusted","2005_all_drug_overdose_death_rate_age_adjusted","2006_all_drug_overdose_death_rate_age_adjusted","2007_all_drug_overdose_death_rate_age_adjusted","2008_all_drug_overdose_death_rate_age_adjusted","2009_all_drug_overdose_death_rate_age_adjusted","2010_all_drug_overdose_death_rate_age_adjusted","2011_all_drug_overdose_death_rate_age_adjusted","2012_all_drug_overdose_death_rate_age_adjusted","2013_all_drug_overdose_death_rate_age_adjusted","2014_all_drug_overdose_death_rate_age_adjusted","2015_all_drug_overdose_death_rate_age_adjusted","2016_all_drug_overdose_death_rate_age_adjusted","2017_all_drug_overdose_death_rate_age_adjusted","1999_percent_change_in_opioid_overdose_death_rate_from_prior_year","2000_percent_change_in_opioid_overdose_death_rate_from_prior_year","2001_percent_change_in_opioid_overdose_death_rate_from_prior_year","2002_percent_change_in_opioid_overdose_death_rate_from_prior_year","2003_percent_change_in_opioid_overdose_death_rate_from_prior_year","2004_percent_change_in_opioid_overdose_death_rate_from_prior_year","2005_percent_change_in_opioid_overdose_death_rate_from_prior_year","2006_percent_change_in_opioid_overdose_death_rate_from_prior_year","2007_percent_change_in_opioid_overdose_death_rate_from_prior_year","2008_percent_change_in_opioid_overdose_death_rate_from_prior_year","2009_percent_change_in_opioid_overdose_death_rate_from_prior_year","2010_percent_change_in_opioid_overdose_death_rate_from_prior_year","2011_percent_change_in_opioid_overdose_death_rate_from_prior_year","2012_percent_change_in_opioid_overdose_death_rate_from_prior_year","2013_percent_change_in_opioid_overdose_death_rate_from_prior_year","2014_percent_change_in_opioid_overdose_death_rate_from_prior_year","2015_percent_change_in_opioid_overdose_death_rate_from_prior_year","2016_percent_change_in_opioid_overdose_death_rate_from_prior_year","2017_percent_change_in_opioid_overdose_death_rate_from_prior_year","1999_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2000_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2001_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2002_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2003_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2004_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2005_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2006_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2007_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2008_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2009_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2010_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2011_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2012_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2013_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2014_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2015_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2016_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2017_percent_change_in_all_drug_overdose_death_rate_from_prior_year","avg_opioid_death_growth_rate","avg_deaths_due_to_opioid","avg_deaths_due_to_all_drugs","avg_opioid_death_rate_2009_2013","avg_opioid_death_rate_2013_2017","percentage_of_opioid_death_rates_amongst_all_drug_death_rates","percentage_increase_in_avg_opioid_death_rate_between_2009_2013_and_2013_2017"
"Alabama",0.8,1,1.3,1.6,1.1,1.8,1.8,2.7,3.6,4.1,4.5,4.1,3.8,3.6,3.5,5.6,6.1,7.5,9,3.9,4.5,4.9,4.8,4.4,6.4,6.3,8.7,11.1,13,13.6,11.8,11.8,12.1,12.7,15.2,15.7,16.2,18,0,0.25,0.3,0.23,-0.31,0.64,0,0.5,0.33,0.14,0.1,-0.09,-0.07,-0.053,-0.03,0.6,0.089,0.23,0.2,0,0.15,0.09,-0.02,-0.08,0.45,-0.02,0.38,0.28,0.17,0.05,-0.13,0,0.025,0.05,0.2,0.033,0.03,0.11,0.160842105263158,3.55263157894737,10.2684210526316,3.9,6.34,34.5976422347514,62.5641025641026
"Alaska",4,4,0,0,0,0,0,4.1,0,12.5,12.5,8.7,8.7,10.8,9.2,10.6,11,12.5,13.9,7.5,7.1,9.4,12.2,12.7,12.7,11.4,11.1,10.1,18.1,17.9,11.6,14.2,17.4,14.4,16.8,16,16.8,20.2,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0.241,-0.15,0.15,0.038,0.14,0.11,0,-0.05,0.32,0.3,0.04,0,-0.1,-0.03,-0.09,0.79,-0.01,-0.35,0.22,0.225,-0.17,0.17,-0.048,0.05,0.2,0.0120526315789474,6.44736842105263,13.5578947368421,9.98,11.44,47.554347826087,14.6292585170341
"Arizona",4.7,4.8,5.2,6.2,6.4,6.3,6.6,7.8,7.7,8.1,9.8,9.9,8.8,8.2,8.2,8.8,10.2,11.4,13.5,10.6,10.6,10.9,12,12.7,13.7,14.1,14.9,15.7,13.5,16.1,17.5,16.9,17.7,18.7,18.2,19,20.3,22.2,0,0.02,0.08,0.19,0.03,-0.02,0.05,0.18,-0.01,0.05,0.21,0.01,-0.11,-0.068,0,0.07,0.159,0.12,0.18,0,0,0.03,0.1,0.06,0.08,0.03,0.06,0.05,-0.14,0.19,0.09,-0.03,0.047,0.06,-0.03,0.044,0.07,0.09,0.0600526315789474,8.03157894736842,15.5421052631579,8.98,10.42,51.6762614290552,16.0356347438753
"Arkansas",1.1,0.8,1.1,3.5,3.4,4.8,4.6,5.1,5.4,7.2,7.2,6.8,6.2,6,5.6,6.3,7.2,5.9,6.5,4.4,5.4,4.8,6.8,7,8.7,10.1,10.5,10.9,13.1,12.6,12.5,12.6,13.1,11.1,12.6,13.8,14,15.5,0,-0.27,0.38,2.18,-0.03,0.41,-0.04,0.11,0.06,0.33,0,-0.06,-0.09,-0.032,-0.07,0.13,0.143,-0.18,0.1,0,0.23,-0.11,0.42,0.03,0.24,0.16,0.04,0.04,0.2,-0.04,-0.01,0.01,0.04,-0.15,0.14,0.095,0.01,0.11,0.161631578947368,4.98421052631579,10.5,6.36,6.3,47.468671679198,-0.943396226415102
"California",4.5,3,1.6,4.2,4,4,3.8,4.1,4.5,4.8,5.2,5,5,4.4,4.9,5,4.9,4.9,5.3,8.1,5.8,3.6,8.7,8.9,8.8,9,9.6,10.5,10.4,10.7,10.6,10.7,10.3,11.1,11.1,11.3,11.2,11.7,0,-0.33,-0.47,1.63,-0.05,0,-0.05,0.08,0.1,0.07,0.08,-0.04,0,-0.12,0.11,0.02,-0.02,0,0.08,0,-0.28,-0.38,1.42,0.02,-0.01,0.02,0.07,0.09,-0.01,0.03,-0.01,0.01,-0.037,0.08,0,0.018,-0.01,0.04,0.0573684210526316,4.37368421052632,9.58421052631579,4.9,5,45.6342668863262,2.0408163265306
"Colorado",3.7,3.9,4.2,4.2,4.5,4.8,6.2,6.7,7,7,7.7,5.9,8,7.7,8,9.4,8.7,9.5,10,8,7.9,9,9.7,10.7,10.9,12.7,12.8,14.7,14.8,15,12.7,16.1,15,15.5,16.3,15.4,16.6,17.6,0,0.05,0.08,0,0.07,0.07,0.29,0.08,0.04,0,0.1,-0.23,0.36,-0.038,0.04,0.18,-0.074,0.09,0.05,0,-0.01,0.14,0.08,0.1,0.02,0.17,0.01,0.15,0.01,0.01,-0.15,0.27,-0.068,0.03,0.05,-0.055,0.08,0.06,0.0609473684210526,6.68947368421053,13.2315789473684,7.46,9.12,50.5568814638027,22.2520107238606
"Connecticut",4.4,4.8,4.3,5,4.9,5.7,4.7,6.4,7,6.5,6.2,6.3,6,5.7,12.3,15.2,19.2,24.5,27.7,9,9.2,8.8,10.3,8.8,9.6,8.5,11.5,12.2,10.7,11,10.1,11.2,12.1,16,17.6,22.1,27.4,30.9,0,0.09,-0.1,0.16,-0.02,0.16,-0.18,0.36,0.09,-0.07,-0.05,0.02,-0.05,-0.05,1.16,0.24,0.263,0.28,0.13,0,0.02,-0.04,0.17,-0.15,0.09,-0.11,0.35,0.06,-0.12,0.03,-0.08,0.11,0.08,0.32,0.1,0.256,0.24,0.13,0.128052631578947,9.30526315789474,13.5263157894737,7.3,19.78,68.7937743190661,170.958904109589
"Delaware",4.1,3.7,4.5,6,4.5,4.2,3.5,4.5,5.1,7.7,9.3,12,12.6,9.2,12.8,13.9,14.8,16.9,27.8,6.4,7,8,10.5,9.4,7.6,7.5,9.4,11.4,14.3,15.4,16.6,17.6,15.2,18.7,20.9,22,30.8,37,0,-0.1,0.22,0.33,-0.25,-0.07,-0.17,0.29,0.13,0.51,0.21,0.29,0.05,-0.27,0.39,0.09,0.065,0.14,0.64,0,0.09,0.14,0.31,-0.1,-0.19,-0.01,0.25,0.21,0.25,0.08,0.08,0.06,-0.136,0.23,0.12,0.053,0.4,0.2,0.131315789473684,9.32105263157895,15.0368421052632,11.18,17.24,61.9880994049702,54.2039355992845
"District of Columbia",4.9,7.7,8.1,5.2,10.7,9.4,7.8,9.6,5.2,5.1,0,5.8,8,7.3,8.6,9.4,14.5,30,34.7,8.3,13.4,16.2,10.9,18.1,15.5,13.7,17.8,10.8,9.6,4.1,12.9,13.5,12.6,15,14.2,18.6,38.8,44,0,0.57,0.05,-0.36,1.06,-0.12,-0.17,0.23,-0.46,-0.02,0,0,0.38,-0.088,0.18,0.09,0.543,1.07,0.16,0,0.61,0.21,-0.33,0.66,-0.14,-0.12,0.3,-0.39,-0.11,-0.57,2.15,0.05,-0.067,0.19,-0.05,0.31,1.09,0.13,0.163947368421053,10.1052631578947,16.2105263157895,5.94,19.44,62.3376623376623,227.272727272727
"Florida",2.6,3.6,5.4,5.9,6.3,7.1,6.3,6.9,8.2,8.2,8.7,9.1,8.4,6.9,6.6,7.2,9.4,14.4,16.3,6.4,7.4,10.9,11.8,12.4,13.2,13.5,14.4,15.4,16.2,16.7,16.4,15.4,13.3,12.6,13.2,16.2,23.7,25.1,0,0.38,0.5,0.09,0.07,0.13,-0.11,0.1,0.19,0,0.06,0.05,-0.08,-0.179,-0.04,0.09,0.306,0.53,0.13,0,0.16,0.47,0.08,0.05,0.06,0.02,0.07,0.07,0.05,0.03,-0.02,-0.06,-0.136,-0.05,0.05,0.227,0.46,0.06,0.116684210526316,7.76315789473684,14.4315789473684,7.94,10.78,53.7928519328957,35.7682619647355
"Georgia",1,1.4,2.1,2.5,2.7,2.9,3.3,3.6,4.1,4.2,5,5.4,5.4,5.4,5.3,7,8.4,8.8,9.7,3.5,4.4,6,6.5,6.9,7.5,8.2,8.9,9.7,9.7,10.3,10.7,10.7,10.6,10.8,11.9,12.7,13.3,14.7,0,0.4,0.5,0.19,0.08,0.07,0.14,0.09,0.14,0.02,0.19,0.08,0,0,-0.02,0.32,0.2,0.05,0.1,0,0.26,0.36,0.08,0.06,0.09,0.09,0.09,0.09,0,0.06,0.04,0,-0.009,0.02,0.1,0.067,0.05,0.11,0.134210526315789,4.64210526315789,9.31578947368421,5.3,7.84,49.8305084745763,47.9245283018868
"Hawaii",2.4,2.3,3,3.7,3.4,4.4,5,4,5.7,3.9,4.1,5.3,5.4,4.5,4.7,3.9,4.1,5.2,3.4,6.5,5.1,6.2,6.1,7.1,8,9.4,6.4,10,9,9.6,10.9,12.4,11,11,10.9,11.3,12.8,13.8,0,-0.04,0.3,0.23,-0.08,0.29,0.14,-0.2,0.43,-0.32,0.05,0.29,0.02,-0.167,0.04,-0.17,0.051,0.27,-0.35,0,-0.22,0.22,-0.02,0.16,0.13,0.18,-0.32,0.56,-0.1,0.07,0.14,0.14,-0.113,0,-0.01,0.037,0.13,0.08,0.0412631578947368,4.12631578947368,9.3421052631579,4.8,4.26,44.169014084507,-11.25
"Idaho",2.5,2.2,4.1,3.5,4.2,3.5,3.7,5,4.3,4.8,4.2,5.3,5.1,3.9,4.8,5,6,7.4,6.2,5.3,5.1,7.8,9.1,7.9,7.4,8.1,9.3,8.6,9.8,11.6,11.8,12.9,11.9,13.4,13.7,14.2,15.2,14.4,0,-0.12,0.86,-0.15,0.2,-0.17,0.06,0.35,-0.14,0.12,-0.13,0.26,-0.04,-0.235,0.23,0.04,0.2,0.23,-0.16,0,-0.04,0.53,0.17,-0.13,-0.06,0.09,0.15,-0.08,0.14,0.18,0.02,0.09,-0.078,0.13,0.02,0.036,0.07,-0.05,0.0739473684210526,4.51052631578947,10.3947368421053,4.66,5.88,43.3924050632911,26.1802575107296
"Illinois",3.9,4.5,4.2,4.6,3.7,4.2,4.7,6.9,5.5,6.7,6.9,6.8,7.1,8.9,8.3,9.4,10.7,15.3,17.2,6.7,7,7.1,7.9,6.8,8.3,8.4,10.9,9.4,10.6,10.8,10,10.9,12.5,12.1,13.1,14.1,18.9,21.6,0,0.15,-0.07,0.1,-0.2,0.14,0.12,0.47,-0.2,0.22,0.03,-0.01,0.04,0.254,-0.07,0.13,0.138,0.43,0.12,0,0.04,0.01,0.11,-0.14,0.22,0.01,0.3,-0.14,0.13,0.02,-0.07,0.09,0.147,-0.03,0.08,0.076,0.34,0.14,0.0943157894736842,7.34210526315789,10.9,7.6,12.18,67.3587638821825,60.2631578947368
"Indiana",0.8,0.7,1.1,1,2.1,2.2,2.6,2.8,3.9,5,5,4.5,5.6,5.9,5.7,7.3,8.5,12.6,18.8,3.2,3.5,4.7,4.8,7.1,8.8,9.8,11.8,12.4,13.2,14,14.4,15.3,16,16.6,18.2,19.5,24,29.4,0,-0.13,0.57,-0.09,1.1,0.05,0.18,0.08,0.39,0.28,0,-0.1,0.24,0.054,-0.03,0.28,0.164,0.48,0.49,0,0.09,0.34,0.02,0.48,0.24,0.11,0.2,0.05,0.06,0.06,0.03,0.06,0.046,0.04,0.1,0.071,0.23,0.23,0.210947368421053,5.0578947368421,12.9842105263158,5.34,10.58,38.9541953790028,98.12734082397
"Iowa",0,0,0.9,1.3,1.4,2.1,2.4,3.3,3.6,4.4,4.9,5.1,5.9,5.9,6.1,5.3,5.8,6.2,6.9,1.9,2.5,3,3.1,3.4,4.2,4.8,6.6,6.9,7.2,7.1,8.6,8.4,8.7,9.3,8.8,10.3,10.6,11.5,0,0,0,0.44,0.08,0.5,0.14,0.38,0.09,0.22,0.11,0.04,0.16,0,0.03,-0.13,0.094,0.07,0.11,0,0.32,0.2,0.03,0.1,0.24,0.14,0.38,0.05,0.04,-0.01,0.21,-0.02,0.036,0.07,-0.05,0.17,0.03,0.08,0.122842105263158,3.76315789473684,6.67894736842105,5.58,6.06,56.3435776201734,8.60215053763442
"Kansas",1,0.9,1.8,3,2.9,4.4,4.1,4.5,4.4,3.5,5.5,3.8,4.3,6.3,5.7,6,5.4,5.1,5.1,3.4,4,5.3,6.4,7.1,8.5,9.1,9.5,10,8,11.1,9.6,10.1,11.5,12,11.7,11.8,11.1,11.8,0,-0.1,1,0.67,-0.03,0.52,-0.07,0.1,-0.02,-0.2,0.57,-0.31,0.13,0.465,-0.1,0.05,-0.1,-0.06,0,0,0.18,0.33,0.21,0.11,0.2,0.07,0.04,0.05,-0.2,0.39,-0.14,0.05,0.139,0.04,-0.03,0.009,-0.06,0.06,0.132368421052632,4.08947368421053,9.05263157894737,5.12,5.46,45.1744186046512,6.640625
"Kentucky",1.3,2.3,3.5,4.4,5.7,5.4,6.8,8,8.1,8.7,10.2,14.1,15.8,15.5,15.5,16.8,21,23.6,27.9,4.9,5.9,8.4,10.5,13.6,12.8,15.3,17.4,16.7,17.9,18,23.6,25,25,23.7,24.7,29.9,33.5,37.2,0,0.77,0.52,0.26,0.3,-0.05,0.26,0.18,0.01,0.07,0.17,0.38,0.12,-0.019,0,0.08,0.25,0.12,0.18,0,0.2,0.42,0.25,0.3,-0.06,0.2,0.14,-0.04,0.07,0.01,0.31,0.06,0,-0.05,0.04,0.211,0.12,0.11,0.189526315789474,11.2947368421053,19.1578947368421,14.22,20.96,58.9560439560439,47.3980309423348
"Louisiana",0.7,1.2,1.8,2.1,2.7,3.2,3.8,4.6,4.9,2.9,2.8,2.8,2.5,3.7,5.9,5.7,6.3,7.7,9.3,4.3,5.6,6,8.3,12.1,12.1,14.7,16.5,18.8,14.9,13.1,13.2,13.5,12.3,17.8,16.9,19,21.8,24.5,0,0.71,0.5,0.17,0.29,0.19,0.19,0.21,0.07,-0.41,-0.03,0,-0.11,0.48,0.59,-0.03,0.105,0.22,0.21,0,0.3,0.07,0.38,0.46,0,0.21,0.12,0.14,-0.21,-0.12,0.01,0.02,-0.089,0.45,-0.05,0.124,0.15,0.12,0.176578947368421,3.92631578947368,13.9684210526316,3.54,6.98,28.1085154483798,97.1751412429378
"Maine",2.1,3.2,4.3,7.3,6.7,7.7,9,7.3,8.1,8.2,8.7,7.1,6.7,7.9,9.9,13.7,19.3,25.2,29.9,5.3,4.8,6.5,10.9,10.3,11,12.4,12,12.4,12.3,12.7,10.4,11.8,11.5,13.2,16.8,21.2,28.7,34.4,0,0.52,0.34,0.7,-0.08,0.15,0.17,-0.19,0.11,0.01,0.06,-0.18,-0.06,0.179,0.25,0.38,0.409,0.31,0.19,0,-0.09,0.35,0.68,-0.06,0.07,0.13,-0.03,0.03,-0.01,0.03,-0.18,0.13,-0.025,0.15,0.27,0.262,0.35,0.2,0.172,10.1210526315789,13.6105263157895,8.06,19.6,74.3619489559165,143.17617866005
